SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Field208;Field209;Field210;Field211
14;05;0002;00145700;1405000200145700;Kang Samaram;260013;260013;1405000200150000.0;14;5;2;145700;0;0;VILLAGE;Kang Samaram;Rural;541;2836;1437;1399;504;248;256;0;0;0;0;0;0;1342;821;521;1494;616;878;1133;706;427;729;547;182;366;279;87;162;107;55;7;3;4;194;158;36;404;159;245;21;11;10;317;135;182;49;2;47;17;11;6;1703;731;972;14;5;2;1;145700;KANG SAMARAM;387.2617;541;2836;1437;1399;0;0;0;0;0;0;1;3;0;0;1;0;0;0;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;2;0;2;0;0;0;2;1;1;0;0;3;0;3;2;0;2;0;2;2;0;3;0;3;0;3;1;0;3;1;0;0;1;1;1;1;0;0;0;Wangjing np;3;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;05;0001;00139800;1405000100139800;Hayel;260014;260014;1405000100140000.0;14;5;1;139800;0;0;VILLAGE;Hayel;Rural;349;2158;1098;1060;502;260;242;0;0;0;0;0;0;811;545;266;1347;553;794;647;434;213;270;250;20;113;112;1;27;19;8;9;7;2;121;112;9;377;184;193;159;140;19;11;5;6;83;4;79;124;35;89;1511;664;847;14;5;1;1;139800;HAYEL;208.3655;349;2158;1098;1060;0;0;0;0;0;0;1;3;0;1;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;R;0;TK;2;0;3;0;0;0;3;2;0;2;0;3;0;3;2;0;2;0;2;1;1;0;0;2;0;3;1;0;2;4;0;0;3;0;1;1;0;0;0;Mayang Imphal;7;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;06;0004;00162300;1406000400162300;Hangoon;260015;260015;1406000400160000.0;14;6;4;162300;0;0;VILLAGE;Hangoon;Rural;146;765;377;388;116;58;58;0;0;0;0;0;0;203;153;50;562;224;338;207;139;68;207;139;68;163;114;49;4;3;1;10;8;2;30;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;238;320;14;6;4;2;162300;HANGOON;75.23;146;765;377;388;0;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;L;0;R;2;0;1;0;0;0;1;1;1;0;0;3;0;3;2;0;2;0;3;2;0;3;0;3;0;3;1;0;3;2;0;0;3;1;1;1;0;0;0;Mayang Imphal;11;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;05;0002;00145500;1405000200145500;Kangdabi;260016;260016;1405000200150000.0;14;5;2;145500;0;0;;KANGDABI;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;5;2;1;145500;KANGDABI;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;05;0002;00144300;1405000200144300;Ingourok;260017;260017;1405000200140000.0;14;5;2;144300;0;0;VILLAGE;Ingourok;Rural;90;471;247;224;87;49;38;0;0;0;0;0;0;256;162;94;215;85;130;225;124;101;137;96;41;51;40;11;73;46;27;2;2;0;11;8;3;88;28;60;43;15;28;42;12;30;2;1;1;1;0;1;246;123;123;14;5;2;1;144300;INGOUROK;0.0;90;471;247;224;0;0;0;0;0;0;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;R;0;TK;2;0;2;0;0;0;2;2;0;1;0;3;0;3;2;0;2;0;2;2;0;3;0;2;0;2;2;0;1;0;3;0;3;1;1;1;0;0;0;Yairipok;6;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;05;0002;00145400;1405000200145400;Chingdompok;260018;260018;1405000200150000.0;14;5;2;145400;0;0;VILLAGE;Chingdompok;Rural;274;1415;694;721;263;136;127;0;0;0;0;0;0;842;515;327;573;179;394;667;312;355;363;198;165;30;28;2;65;64;1;5;3;2;263;103;160;304;114;190;205;96;109;3;3;0;20;0;20;76;15;61;748;382;366;14;5;2;1;145400;CHINGDOMPOK;206.7144;274;1415;694;721;0;0;0;0;0;0;1;2;0;1;0;1;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;R;0;T;2;0;1;0;0;0;2;1;1;0;0;3;0;3;2;0;2;0;2;2;0;3;0;3;0;3;2;0;3;0;1;0;1;1;1;1;0;0;0;Heirok np;5;1;1;0;0;0;1;N;M;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;06;0004;00162400;1406000400162400;Thongam;260019;260019;1406000400160000.0;14;6;4;162400;0;0;VILLAGE;Thongam;Rural;160;970;460;510;148;72;76;0;0;0;0;0;0;606;340;266;364;120;244;290;203;87;232;190;42;160;137;23;13;10;3;7;5;2;52;38;14;58;13;45;32;6;26;5;1;4;3;0;3;18;6;12;680;257;423;14;6;4;2;162400;THONGAM;93.43;160;970;460;510;0;0;0;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;L;0;R;2;0;3;0;0;0;1;1;1;0;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;1;0;3;1;0;0;3;1;0;1;0;0;0;Mayang Imphal;10;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;04;0002;00136500;1404000200136500;Ningthoukhong Kha;260020;260020;1404000200140000.0;14;4;2;136500;0;0;VILLAGE;Ningthoukhong Kha;Rural;135;792;413;379;122;71;51;0;0;0;0;0;0;486;298;188;306;115;191;400;205;195;94;78;16;4;3;1;0;0;0;1;1;0;89;74;15;306;127;179;168;94;74;48;29;19;86;1;85;4;3;1;392;208;184;14;4;2;1;136500;NINGTHOUKHONG KHA;0.0;135;792;413;379;0;0;0;0;0;0;1;4;0;2;0;2;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;1;1;0;0;0;5;0;1;1;0;0;3;0;3;2;0;1;0;1;1;0;3;0;2;3;0;1;2;0;5;0;0;3;1;1;1;0;0;0;Ningthoukhong np;1;1;1;0;0;0;1;N;M;2;0;0;WEAVING;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;04;0002;00136600;1404000200136600;Thinungei;260021;260021;1404000200140000.0;14;4;2;136600;0;0;VILLAGE;Thinungei;Rural;567;3429;1741;1688;536;283;253;0;0;0;0;0;0;1976;1156;820;1453;585;868;1791;903;888;1221;747;474;517;397;120;119;73;46;149;18;131;436;259;177;570;156;414;121;71;50;61;32;29;221;30;191;167;23;144;1638;838;800;14;4;2;1;136600;THINUNGEI;736.18;567;3429;1741;1688;0;0;0;0;0;0;1;3;0;1;0;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;TK;0;T;2;0;2;0;0;0;2;1;1;0;0;3;0;3;2;0;2;0;2;1;0;3;1;0;1;0;1;1;0;1;0;0;3;1;1;1;0;0;0;Ningthoukhong np;2;1;1;0;0;0;1;N;M;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;05;0002;00142900;1405000200142900;Khongjom;260022;260022;1405000200140000.0;14;5;2;142900;0;0;VILLAGE;Khongjom;Rural;422;2108;1058;1050;354;191;163;0;0;0;0;0;0;1180;709;471;928;349;579;984;508;476;553;430;123;201;176;25;92;60;32;27;15;12;233;179;54;431;78;353;11;3;8;396;66;330;6;1;5;18;8;10;1124;550;574;14;5;2;1;142900;KHONGJOM;261.4726;422;2108;1058;1050;0;0;0;0;0;0;1;2;0;2;0;1;0;0;2;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;1;1;0;0;0;0;2;1;1;0;0;3;0;3;2;0;2;0;2;1;1;0;0;3;0;3;1;0;1;1;0;0;1;1;1;1;0;0;0;Wangjing;5;2;0;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
