OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
16.0;13;03;0004;00000000;1303000400000000;Changtongya;259544;259544;1303000400000000.0;13;3;4;0;0;0;CIRCLE;Changtongya;Total;3531;23560;12339;11221;2236;1130;1106;0;0;0;22841;11905;10936;17312;9392;7920;6248;2947;3301;10501;5587;4914;9297;5096;4201;5792;2899;2893;267;166;101;248;65;183;2990;1966;1024;1204;491;713;358;157;201;85;43;42;80;16;64;681;275;406;13059;6752;6307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60146.64634839806;136662151.60026273
17.0;13;01;0011;00000000;1301001100000000;Longching;259545;259545;1301001100000000.0;13;1;11;0;0;0;CIRCLE;Longching;Total;2814;22692;11798;10894;3364;1613;1751;0;0;0;22524;11686;10838;5869;3619;2250;16823;8179;8644;10029;5354;4675;7826;4442;3384;7122;3929;3193;126;91;35;123;59;64;455;363;92;2203;912;1291;1749;687;1062;163;88;75;86;16;70;205;121;84;12663;6444;6219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61118.21316200298;125532954.3078569
18.0;13;02;0003;00000000;1302000300000000;Longleng;259546;259546;1302000300000000.0;13;2;3;0;0;0;CIRCLE;Longleng;Total;7498;63509;33583;29926;6437;3283;3154;0;0;0;61860;32603;29257;24764;14136;10628;38745;19447;19298;33616;17883;15733;22614;12510;10104;19911;10701;9210;343;198;145;690;352;338;1670;1259;411;11002;5373;5629;7570;3587;3983;984;489;495;576;240;336;1872;1057;815;29893;15700;14193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90042.1785496821;285380113.9796583
19.0;13;05;0001;00000000;1305000100000000;Changpang;259547;259547;1305000100000000.0;13;5;1;0;0;0;CIRCLE;Changpang;Total;1037;4892;2603;2289;626;340;286;0;0;0;4840;2580;2260;3058;1719;1339;1834;884;950;2316;1300;1016;1869;1066;803;1492;771;721;9;4;5;48;23;25;320;268;52;447;234;213;337;199;138;14;10;4;68;5;63;28;20;8;2576;1303;1273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68830.41667616942;192769113.55136243
20.0;13;03;0007;00000000;1303000700000000;Mongkolemba;259548;259548;1303000700000000.0;13;3;7;0;0;0;CIRCLE;Mangkolemba;Total;3355;22356;11788;10568;2693;1366;1327;0;0;0;21488;11172;10316;16793;9085;7708;5563;2703;2860;8546;5032;3514;7113;4422;2691;4122;2218;1904;228;135;93;117;64;53;2646;2005;641;1433;610;823;628;221;407;522;244;278;85;23;62;198;122;76;13810;6756;7054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78354.99961444695;225575698.4474724
21.0;13;03;0005;00000000;1303000500000000;Chuchuyimlang;259549;259549;1303000500000000.0;13;3;5;0;0;0;CIRCLE;Chuchuyimlang;Total;3068;22149;11021;11128;2308;1050;1258;0;0;0;21943;10914;11029;15442;7935;7507;6707;3086;3621;11649;6094;5555;8808;4719;4089;6525;3222;3303;626;337;289;212;110;102;1445;1050;395;2841;1375;1466;1752;840;912;667;348;319;184;74;110;238;113;125;10500;4927;5573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82137.427196292;165885088.0057913
22.0;13;01;0012;00000000;1301001200000000;Mopong;259550;259550;1301001200000000.0;13;1;12;0;0;0;CIRCLE;Mopong;Total;1704;11846;6324;5522;2016;1055;961;0;0;0;11742;6267;5475;2685;1727;958;9161;4597;4564;6239;3504;2735;5468;3076;2392;4894;2645;2249;127;72;55;22;15;7;425;344;81;771;428;343;248;134;114;231;111;120;5;1;4;287;182;105;5607;2820;2787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46981.066733118845;84535788.8833327
23.0;13;01;0014;00000000;1301001400000000;Monyakshu;259551;259551;1301001400000000.0;13;1;14;0;0;0;CIRCLE;Monyakshu;Total;2591;22607;11802;10805;3255;1769;1486;0;0;0;22501;11741;10760;2548;1655;893;20059;10147;9912;13294;6831;6463;12158;6287;5871;11715;5958;5757;22;15;7;152;81;71;269;233;36;1136;544;592;1065;499;566;27;16;11;36;22;14;8;7;1;9313;4971;4342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59629.137142198524;132071576.10824971
24.0;13;03;0006;00000000;1303000600000000;Kubulong;259552;259552;1303000600000000.0;13;3;6;0;0;0;CIRCLE;Kubolong;Total;2886;20686;10660;10026;2534;1373;1161;0;0;0;20118;10362;9756;14450;7587;6863;6236;3073;3163;12134;6249;5885;5821;3278;2543;4590;2401;2189;58;47;11;117;73;44;1056;757;299;6313;2971;3342;5472;2521;2951;49;27;22;611;322;289;181;101;80;8552;4411;4141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58155.15566392012;118424433.21011327
25.0;13;02;0004;00000000;1302000400000000;Noksen;259553;259553;1302000400000000.0;13;2;4;0;0;0;CIRCLE;Noksen;Total;2365;17931;9333;8598;2929;1481;1448;0;0;0;17085;8883;8202;8060;4453;3607;9871;4880;4991;8613;4497;4116;7511;3973;3538;6522;3219;3303;67;35;32;49;33;16;873;686;187;1102;524;578;615;286;329;175;64;111;25;9;16;287;165;122;9318;4836;4482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67162.11840620449;203834753.3288356
