OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
98.0;12;11;0014;00000000;1211001400000000;Lekang;259476;259476;1211001400000000.0;12;11;14;0;0;0;CIRCLE;Lekang Circle;Total;3948;24447;12753;11694;5082;2665;2417;41;17;24;8989;4571;4418;11406;7006;4400;13041;5747;7294;10123;6099;4024;6462;5243;1219;5188;4171;1017;200;157;43;27;21;6;1047;894;153;3661;856;2805;3176;557;2619;278;176;102;23;5;18;184;118;66;14324;6654;7670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72083.13230752591;133819445.35914628
99.0;12;07;0019;00000000;1207001900000000;Kangku;259477;259477;1207001900000000.0;12;7;19;0;0;0;CIRCLE;Kangku Circle;Total;460;3010;1562;1448;670;347;323;0;0;0;2652;1354;1298;1449;857;592;1561;705;856;1152;604;548;976;574;402;886;492;394;3;3;0;11;7;4;76;72;4;176;30;146;153;24;129;19;3;16;2;2;0;2;1;1;1858;958;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105211.94092433993;418755450.72647166
100.0;12;11;0013;00000000;1211001300000000;Piyong;259478;259478;1211001300000000.0;12;11;13;0;0;0;CIRCLE;Piyong Circle;Total;1703;9055;4785;4270;2291;1181;1110;24;12;12;3936;2033;1903;2708;1755;953;6347;3030;3317;4137;2456;1681;3228;2173;1055;2043;1363;680;593;381;212;31;25;6;561;404;157;909;283;626;387;116;271;447;131;316;14;3;11;61;33;28;4918;2329;2589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72429.45374476953;206063841.40655413
101.0;12;12;0008;00000000;1212000800000000;Miao;259479;259479;1212000800000000.0;12;12;8;0;0;0;CIRCLE;Miao Circle;Total;4021;20266;10452;9814;4057;2077;1980;41;23;18;5780;2881;2899;8567;5296;3271;11699;5156;6543;9420;5318;4102;7991;4839;3152;5856;3115;2741;282;189;93;51;42;9;1802;1493;309;1429;479;950;789;231;558;413;143;270;44;20;24;183;85;98;10846;5134;5712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270550.4329973106;1991470022.9751558
102.0;12;02;0001;00000000;1202000100000000;Dirang;259480;259480;1202000100000000.0;12;2;1;0;0;0;CIRCLE;Dirang Circle;Total;3876;18434;10230;8204;3081;1550;1531;48;26;22;12997;6596;6401;7042;4879;2163;11392;5351;6041;9343;5984;3359;6247;4580;1667;2758;1586;1172;357;244;113;117;71;46;3015;2679;336;3096;1404;1692;1955;894;1061;415;145;270;168;14;154;558;351;207;9091;4246;4845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202574.04032184355;1399815172.4355443
103.0;12;05;0003;00000000;1205000300000000;Pistana;259481;259481;1205000300000000.0;12;5;3;0;0;0;CIRCLE;Pistana Circle;Total;968;6009;2972;3037;1101;555;546;4;3;1;5807;2840;2967;2108;1268;840;3901;1704;2197;2627;1287;1340;1722;996;726;1394;738;656;5;2;3;34;17;17;289;239;50;905;291;614;734;212;522;100;40;60;13;5;8;58;34;24;3382;1685;1697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116462.76579225113;310089107.47264767
104.0;12;12;0010;00000000;1212001000000000;Diyun;259482;259482;1212001000000000.0;12;12;10;0;0;0;CIRCLE;Diyun Circle;Total;5078;28907;15050;13857;6293;3235;3058;18;9;9;2751;1412;1339;9069;6240;2829;19838;8810;11028;15373;8503;6870;11229;7393;3836;9651;6055;3596;323;243;80;130;85;45;1125;1010;115;4144;1110;3034;3585;940;2645;404;113;291;43;5;38;112;52;60;13534;6547;6987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80535.77500843455;280435881.06588614
105.0;12;01;0004;00000000;1201000400000000;Tawang;259483;259483;1201000400000000.0;12;1;4;0;0;0;CIRCLE;Tawang Circle;Total;3418;17742;11028;6714;2382;1230;1152;96;77;19;10915;5369;5546;9630;7347;2283;8112;3681;4431;10093;7558;2535;8205;6668;1537;1700;828;872;36;20;16;19;15;4;6450;5805;645;1888;890;998;1166;439;727;129;55;74;19;10;9;574;386;188;7649;3470;4179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44622.21435891265;121410291.53312916
106.0;12;05;0016;00000000;1205001600000000;Dollungmukh;259484;259484;1205001600000000.0;12;5;16;0;0;0;CIRCLE;Dollungmukh Circle;Total;194;1080;563;517;311;170;141;0;0;0;957;494;463;375;227;148;705;336;369;370;215;155;264;161;103;165;91;74;3;2;1;3;2;1;93;66;27;106;54;52;77;40;37;9;6;3;6;1;5;14;7;7;710;348;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100968.04134685664;339682730.9976759
107.0;12;04;0008;00000000;1204000800000000;Mengio;259485;259485;1204000800000000.0;12;4;8;0;0;0;CIRCLE;Mengio Circle;Total;651;3845;1878;1967;764;374;390;0;0;0;3842;1875;1967;587;405;182;3258;1473;1785;2256;1076;1180;1881;877;1004;1745;766;979;0;0;0;1;1;0;135;110;25;375;199;176;367;195;172;5;2;3;0;0;0;3;2;1;1589;802;787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117494.24442223762;597187058.2991788
