OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
15.0;17;06;0002;00000000;1706000200000000;Mylliem;261560;261560;1706000200000000.0;17;6;2;0;0;0;TEHSIL;Mylliem;Total;71416;365221;185211;180010;52102;26495;25607;1656;922;734;230762;110169;120593;266468;139205;127263;98753;46006;52747;125952;86973;38979;113958;81068;32890;6537;3990;2547;5774;3817;1957;1377;1010;367;100270;72251;28019;11994;5905;6089;1327;460;867;3669;1563;2106;305;115;190;6693;3767;2926;239269;98238;141031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109271.94999705389;307441638.42028594
16.0;17;06;0001;00000000;1706000100000000;Mawphlang;261561;261561;1706000100000000.0;17;6;1;0;0;0;TEHSIL;Mawphlang;Total;9492;55441;27448;27993;12147;6092;6055;0;0;0;54320;26889;27431;27613;13306;14307;27828;14142;13686;25934;13593;12341;21415;11754;9661;15683;8265;7418;2208;1296;912;248;156;92;3276;2037;1239;4519;1839;2680;2257;898;1359;1426;590;836;69;25;44;767;326;441;29507;13855;15652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140032.8207033962;392327783.88238746
17.0;17;06;0003;00000000;1706000300000000;Mawryngkneng;261562;261562;1706000300000000.0;17;6;3;0;0;0;TEHSIL;Mawryngkneng;Total;8751;50035;25152;24883;10934;5544;5390;2;1;1;47902;23908;23994;24718;11590;13128;25317;13562;11755;21443;12804;8639;18729;11764;6965;7942;4877;3065;4342;2841;1501;336;133;203;6109;3913;2196;2714;1040;1674;626;145;481;1548;700;848;38;14;24;502;181;321;28592;12348;16244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93442.23904715346;297491040.8082967
18.0;17;07;0002;00000000;1707000200000000;Laskein;261563;261563;1707000200000000.0;17;7;2;0;0;0;TEHSIL;Laskein;Total;10560;65726;32886;32840;16036;8068;7968;43;38;5;64307;32075;32232;20844;9112;11732;44882;23774;21108;28710;15838;12872;21902;13735;8167;14102;9361;4741;4000;2132;1868;309;240;69;3491;2002;1489;6808;2103;4705;1906;457;1449;4435;1444;2991;59;21;38;408;181;227;37016;17048;19968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120512.28968621892;535890953.0413025
19.0;17;01;0005;00000000;1701000500000000;Betasing;261564;261564;1701000500000000.0;17;1;5;0;0;0;TEHSIL;Betasing;Total;12110;64456;32731;31725;12876;6663;6213;121;61;60;60564;30619;29945;25282;14518;10764;39174;18213;20961;27319;15668;11651;20651;13497;7154;12529;7855;4674;3158;2059;1099;835;334;501;4129;3249;880;6668;2171;4497;2660;975;1685;3095;826;2269;281;72;209;632;298;334;37137;17063;20074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97549.60378647342;356930878.9517255
20.0;17;03;0002;00000000;1703000200000000;Baghmara;261565;261565;1703000200000000.0;17;3;2;0;0;0;TEHSIL;Baghmara;Total;8136;45529;23864;21665;9460;4815;4645;170;99;71;42148;21544;20604;20693;12126;8567;24836;11738;13098;20896;12158;8738;13984;9783;4201;6961;4213;2748;1216;803;413;199;132;67;5608;4635;973;6912;2375;4537;3448;1048;2400;1508;518;990;157;37;120;1799;772;1027;24633;11706;12927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170545.99637047484;631472540.4907204
21.0;17;04;0005;00000000;1704000500000000;Mawkyrwat;261566;261566;1704000500000000.0;17;4;5;0;0;0;TEHSIL;Mawkyrwat;Total;8535;51383;25800;25583;12215;6219;5996;0;0;0;51213;25710;25503;27732;14024;13708;23651;11776;11875;21876;11625;10251;17218;9475;7743;11908;6195;5713;2899;1685;1214;305;182;123;2106;1413;693;4658;2150;2508;2331;987;1344;1936;958;978;58;22;36;333;183;150;29507;14175;15332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165743.2278526076;771344477.1787512
22.0;17;03;0001;00000000;1703000100000000;Chokpot;261567;261567;1703000100000000.0;17;3;1;0;0;0;TEHSIL;Chokpot;Total;6613;37937;19205;18732;7949;4046;3903;3;3;0;37397;18870;18527;15453;8740;6713;22484;10465;12019;19550;10122;9428;12932;7468;5464;10398;5734;4664;925;496;429;304;218;86;1305;1020;285;6618;2654;3964;4180;1545;2635;920;372;548;176;75;101;1342;662;680;18387;9083;9304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120672.68101436211;627492226.4157288
23.0;17;01;0006;00000000;1701000600000000;Zikzak;261568;261568;1701000600000000.0;17;1;6;0;0;0;TEHSIL;Zikzak;Total;13052;67485;34458;33027;13919;7179;6740;1569;816;753;47086;23824;23262;24354;14314;10040;43131;20144;22987;27596;16628;10968;22827;14909;7918;12391;7402;4989;3366;2254;1112;973;417;556;6097;4836;1261;4769;1719;3050;2066;668;1398;1612;624;988;319;57;262;772;370;402;39889;17830;22059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102446.31810457371;415305181.50085366
24.0;17;06;0004;00000000;1706000400000000;Mawkynrew;261569;261569;1706000400000000.0;17;6;4;0;0;0;TEHSIL;Mawkynrew;Total;5997;34133;17076;17057;7536;3817;3719;0;0;0;34054;17031;17023;14026;6396;7630;20107;10680;9427;17112;9152;7960;13963;7767;6196;8460;4608;3852;2741;1570;1171;92;58;34;2670;1531;1139;3149;1385;1764;858;371;487;1572;751;821;17;9;8;702;254;448;17021;7924;9097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90463.25724311835;375174643.8958329
25.0;17;06;0007;00000000;1706000700000000;Pynursla;261570;261570;1706000700000000.0;17;6;7;0;0;0;TEHSIL;Pynursla;Total;10847;56448;28040;28408;11459;5785;5674;5;5;0;55945;27748;28197;29734;14726;15008;26714;13314;13400;26523;14409;12114;20849;12044;8805;5856;3149;2707;1162;662;500;386;204;182;13445;8029;5416;5674;2365;3309;623;200;423;364;182;182;151;8;143;4536;1975;2561;29925;13631;16294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132850.59633469727;445430736.4292041
26.0;17;07;0004;00000000;1707000400000000;Khliehriat;261571;261571;1707000400000000.0;17;7;4;0;0;0;TEHSIL;Khliehriat;Total;15517;92792;47282;45510;20978;10531;10447;96;80;16;88126;44094;44032;34565;18266;16299;58227;29016;29211;41110;23247;17863;31432;18967;12465;17860;10740;7120;6525;3703;2822;1097;560;537;5950;3964;1986;9678;4280;5398;2602;863;1739;5069;2266;2803;489;130;359;1518;1021;497;51682;24035;27647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;236384.85264245357;2090744303.3991277
27.0;17;06;0006;00000000;1706000600000000;Shella Bholaganj;261572;261572;1706000600000000.0;17;6;6;0;0;0;TEHSIL;Shella Bholaganj;Total;10762;54383;27652;26731;11261;5759;5502;485;258;227;46697;23560;23137;29491;15198;14293;24892;12454;12438;21391;13665;7726;17371;11986;5385;4385;2721;1664;3063;2128;935;273;182;91;9650;6955;2695;4020;1679;2341;397;132;265;1553;607;946;76;16;60;1994;924;1070;32992;13987;19005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115454.86932430144;486854569.22955525
28.0;17;01;0007;00000000;1701000700000000;Dalu;261573;261573;1701000700000000.0;17;1;7;0;0;0;TEHSIL;Dalu;Total;10564;57781;29364;28417;11476;5798;5678;580;291;289;51585;25999;25586;23198;13435;9763;34583;15929;18654;22767;13776;8991;17653;11591;6062;9743;5779;3964;2042;1255;787;415;274;141;5453;4283;1170;5114;2185;2929;2117;851;1266;1574;659;915;198;51;147;1225;624;601;35014;15588;19426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138114.18854081296;624105354.8475643
29.0;17;06;0005;00000000;1706000500000000;Mawsynram;261574;261574;1706000500000000.0;17;6;5;0;0;0;TEHSIL;Mawsynram;Total;8302;45262;22974;22288;9730;4919;4811;184;96;88;42472;21421;21051;23110;12216;10894;22152;10758;11394;18207;11297;6910;12905;9215;3690;4050;2808;1242;3156;2386;770;371;87;284;5328;3934;1394;5302;2082;3220;1233;496;737;2467;1055;1412;458;41;417;1144;490;654;27055;11677;15378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151462.2626292198;482332055.67144537
30.0;17;03;0003;00000000;1703000300000000;Rongara;261575;261575;1703000300000000.0;17;3;3;0;0;0;TEHSIL;Rongara;Total;3151;17514;8938;8576;3905;1956;1949;53;33;20;17071;8613;8458;7670;4474;3196;9844;4464;5380;7402;4211;3191;4435;3202;1233;2413;1513;900;735;554;181;65;46;19;1222;1089;133;2967;1009;1958;1871;524;1347;722;295;427;37;15;22;337;175;162;10112;4727;5385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125752.36014370587;513313928.0942114
31.0;17;07;0003;00000000;1707000300000000;Amlarem;261576;261576;1707000300000000.0;17;7;3;0;0;0;TEHSIL;Amlarem;Total;5956;35970;18158;17812;7531;3757;3774;282;149;133;34203;17087;17116;18809;9478;9331;17161;8680;8481;14571;8968;5603;11286;7285;4001;4859;3205;1654;2988;1928;1060;179;94;85;3260;2058;1202;3285;1683;1602;621;301;320;2021;1106;915;45;11;34;598;265;333;21399;9190;12209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114971.87099600321;430210150.3854739
32.0;17;04;0004;00000000;1704000400000000;Ranikor;261577;261577;1704000400000000.0;17;4;4;0;0;0;TEHSIL;Ranikor;Total;5883;32140;16556;15584;7242;3626;3616;14;6;8;30251;15441;14810;15823;8933;6890;16317;7623;8694;13599;7992;5607;9397;6266;3131;4809;2780;2029;1923;1293;630;164;100;64;2501;2093;408;4202;1726;2476;1394;565;829;1594;576;1018;49;24;25;1165;561;604;18541;8564;9977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156408.6584309457;563860623.9888649
