SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU
11;02;0002;00016900;1102000200016900;CHUMBONG;259308;1102000200020000.0;11;2;2;16900;0;0;VILLAGE;Chumbong;Rural;357;1785;904;881;232;117;115;73;36;37;262;135;127;1013;583;430;772;321;451;1057;581;476;815;489;326;678;376;302;22;17;5;17;11;6;98;85;13;242;92;150;222;89;133;8;0;8;4;1;3;8;2;6;728;323;405;11;2;2;2;16900;Chumbong;600;357;1785;904;881;73;36;37;262;135;127;1;2;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;2;0;0;0;0;2;1;1;0;0;3;0;3;2;0;3;0;3;1;0;1;1;0;0;3;2;0;2;0;3;0;3;1;1;1;2;2;2;Nayabazar;15;1;1;0;0;0;1;;M;2;0;0;;;;0.0;20.62;0;0;0;0;0;0;0;0;0;0;20.62;406.69;146.0;26.86
11;02;0002;00012400;1102000200012400;TADONG;259309;1102000200010000.0;11;2;2;12400;0;0;VILLAGE;Tadong;Rural;230;1330;709;621;183;96;87;9;5;4;190;93;97;536;335;201;794;374;420;362;313;49;358;309;49;184;166;18;50;43;7;8;8;0;116;92;24;4;4;0;0;0;0;4;4;0;0;0;0;0;0;0;968;396;572;11;2;2;2;12400;Tadong;284;230;1330;709;621;9;5;4;190;93;97;1;3;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;1;0;0;0;14;0;1;1;0;0;3;0;3;1;1;0;0;3;1;1;0;1;0;0;3;1;1;0;0;3;0;3;1;2;1;2;2;2;Nayabazar;44;1;1;0;0;0;1;N;M;2;0;0;;;;0.0;33.06;0;0;0;0;0;0;0;0;0;0;33.06;178.42;19.66;52.52
11;02;0002;00016800;1102000200016800;CHAKUNG;259310;1102000200020000.0;11;2;2;16800;0;0;VILLAGE;Chakung;Rural;328;1713;891;822;241;125;116;60;26;34;181;99;82;1014;598;416;699;293;406;484;374;110;455;362;93;294;246;48;9;7;2;18;9;9;134;100;34;29;12;17;14;4;10;6;2;4;4;1;3;5;5;0;1229;517;712;11;2;2;2;16800;Chakung;522;328;1713;891;822;60;26;34;181;99;82;1;4;0;1;0;1;0;0;3;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;3;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;1;0;0;0;5;0;1;1;0;0;3;0;3;2;0;1;0;3;1;1;0;0;1;0;3;2;0;2;0;3;0;3;1;1;1;2;2;2;Nayabazar;11;1;1;0;0;0;1;N;M;2;0;0;;;;0.0;6.28;0;0;0;0;0;0;0;0;0;0;6.28;345.52;132.0;37.96
11;02;0002;00015000;1102000200015000;BURIKHOP(DODOK);259311;1102000200020000.0;11;2;2;15000;0;0;VILLAGE;Burikhop(Dodok);Rural;473;2599;1289;1310;368;185;183;78;46;32;263;126;137;1440;816;624;1159;473;686;1066;622;444;1055;617;438;879;477;402;16;12;4;18;18;0;142;110;32;11;5;6;7;2;5;2;1;1;0;0;0;2;2;0;1533;667;866;11;2;2;2;15000;Burikhop(Dodok);780;473;2599;1289;1310;78;46;32;263;126;137;1;3;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;2;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;1;0;0;0;13;0;1;1;0;0;3;0;3;2;0;2;0;3;1;0;2;1;0;0;3;2;0;2;0;3;0;3;1;1;1;2;2;2;Nayabazar;34;1;1;0;0;0;2;;;2;0;0;;;;0.0;5.62;0;0;0;0;0;0;0;0;0;0;5.62;406.72;0.0;367.25
11;02;0002;00016700;1102000200016700;MENDO-GAON;259312;1102000200020000.0;11;2;2;16700;0;0;VILLAGE;Mendo-Gaon;Rural;167;859;434;425;138;67;71;64;32;32;181;90;91;382;208;174;477;226;251;309;226;83;304;223;81;254;180;74;0;0;0;1;0;1;49;43;6;5;3;2;1;1;0;0;0;0;2;0;2;2;2;0;550;208;342;11;2;2;2;16700;Mendo-Gaon;278;167;859;434;425;64;32;32;181;90;91;1;3;0;0;2;0;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;0;1;0;0;2;0;1;1;0;0;3;0;3;2;0;1;0;3;2;0;2;0;2;0;3;2;0;1;0;3;0;3;1;1;1;2;2;2;Nayabazar;18;1;1;0;0;0;2;;;2;0;0;;;;0.0;10.06;0;0;0;0;0;0;0;0;0;0;10.06;223.34;34.94;9.7
11;02;0001;00010100;1102000100010100;KARMATAR;259314;1102000100010000.0;11;2;1;10100;0;0;VILLAGE;Karmatar;Rural;140;736;388;348;136;67;69;12;4;8;186;109;77;279;189;90;457;199;258;386;211;175;375;206;169;360;192;168;0;0;0;3;3;0;12;11;1;11;5;6;10;4;6;0;0;0;1;1;0;0;0;0;350;177;173;11;2;1;1;10100;Karmatar;445;140;736;388;348;12;4;8;186;109;77;1;3;0;0;1;0;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;1;0;0;0;0;1;2;0;1;0;3;0;3;2;0;2;0;3;2;0;2;0;2;0;1;2;0;2;0;3;0;3;2;2;1;2;2;2;Gyalshing;33;1;1;0;0;0;2;;;2;0;0;;;;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;304.99;122.4;17.88
11;02;0001;00010200;1102000100010200;SOPAKHA;259315;1102000100010000.0;11;2;1;10200;0;0;VILLAGE;Sopakha;Rural;157;946;474;472;208;97;111;0;0;0;8;4;4;368;228;140;578;246;332;415;237;178;415;237;178;361;190;171;13;11;2;2;1;1;39;35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;531;237;294;11;2;1;1;10200;Sopakha;612;157;946;474;472;0;0;0;8;4;4;1;3;0;1;0;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;0;1;0;0;7;0;2;0;1;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;1;2;0;1;0;3;0;3;2;1;1;2;2;2;Gyalshing;44;1;1;0;0;0;2;;;2;0;0;;;;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;504.06;74.71;33.72
11;02;0001;00010300;1102000100010300;MANEYBUNG;259316;1102000100010000.0;11;2;1;10300;0;0;VILLAGE;Maneybung;Rural;478;2710;1412;1298;465;248;217;118;68;50;350;182;168;1390;828;562;1320;584;736;838;621;217;815;604;211;484;357;127;48;24;24;36;34;2;247;189;58;23;17;6;1;1;0;11;7;4;8;6;2;3;3;0;1872;791;1081;11;2;1;1;10300;Maneybung;714;478;2710;1412;1298;118;68;50;350;182;168;1;4;0;2;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;1;1;0;0;0;64;0;1;1;0;0;3;0;3;2;0;3;0;3;1;0;3;0;3;1;0;1;2;0;0;3;0;3;1;1;1;2;2;2;Gyalshing;40;1;1;0;0;0;2;;;2;0;0;;;;0.0;12.71;0;0;0;0;0;0;0;0;0;0;12.71;462.39;91.13;147.67
11;02;0001;00010000;1102000100010000;GAYTEN;259317;1102000100010000.0;11;2;1;10000;0;0;VILLAGE;Gayten;Rural;118;699;362;337;130;66;64;25;11;14;300;142;158;368;231;137;331;131;200;239;166;73;133;124;9;105;100;5;3;3;0;6;6;0;19;15;4;106;42;64;3;1;2;103;41;62;0;0;0;0;0;0;460;196;264;11;2;1;1;10000;Gayten;342;118;699;362;337;25;11;14;300;142;158;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;2;0;1;0;0;0;1;2;0;1;0;3;0;3;2;0;1;0;3;2;0;1;0;1;0;3;2;0;1;0;3;0;3;2;2;1;2;2;2;Gyalshing;30;1;1;0;0;0;2;;;2;0;0;;;;0.0;5.08;0;0;0;0;0;0;0;0;0;0;5.08;185.03;100.77;50.98
11;02;0001;00009900;1102000100009900;LICHING;259318;1102000100010000.0;11;2;1;9900;0;0;VILLAGE;Liching;Rural;32;174;95;79;35;21;14;31;17;14;20;12;8;96;65;31;78;30;48;48;38;10;33;32;1;26;25;1;0;0;0;0;0;0;7;7;0;15;6;9;0;0;0;15;6;9;0;0;0;0;0;0;126;57;69;11;2;1;1;9900;Liching;99;32;174;95;79;31;17;14;20;12;8;2;0;1;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;T;0;;2;0;1;0;0;0;1;1;1;0;0;3;0;3;2;0;1;0;3;2;0;1;0;1;0;3;2;0;1;0;3;0;3;1;2;1;2;2;2;Gyalshing;28;1;1;0;0;0;2;;;2;0;0;;;;0.0;3.13;0;0;0;0;0;0;0;0;0;0;3.13;45.85;24.19;25.67
